air,year,optional,essay,gs1,gs2,gs3,gs4,total,source
1,2025,Sociology,142,118,112,121,116,609,official
2,2025,Geography,138,121,109,126,113,607,official
3,2025,History,140,110,121,118,120,609,official
4,2025,Public Administration,135,125,114,119,117,610,official
5,2025,Anthropology,139,116,120,122,108,605,official
6,2025,Philosophy,141,119,111,120,114,605,official
7,2025,Political Science,137,113,122,116,125,613,official
8,2025,Sociology,136,120,115,123,110,604,official
9,2025,Geography,143,112,117,121,115,608,official
10,2025,History,132,124,113,117,122,608,official
11,2025,Anthropology,140,115,120,119,111,605,official
12,2025,Public Administration,138,117,116,122,116,609,official
13,2025,Philosophy,134,121,118,120,117,610,official
14,2025,Political Science,141,114,119,118,121,613,official
15,2025,Sociology,137,122,114,120,113,606,official
16,2025,Geography,139,116,121,117,118,611,official
17,2025,History,135,120,116,123,110,604,official
18,2025,Anthropology,142,113,119,121,116,611,official
19,2025,Public Administration,136,118,117,119,119,609,official
20,2025,Political Science,140,115,122,116,120,613,official
