Date,Clicks,Impressions,CTR,Position
2026-05-14,0,0,,
2026-05-15,0,0,,
2026-05-16,1,11,9.09%,12.2
2026-05-17,0,5,0%,9.8
2026-05-18,0,3,0%,9.3
2026-05-19,1,17,5.88%,10.1
2026-05-20,1,19,5.26%,9.4
2026-05-21,1,21,4.76%,11.8
2026-05-22,0,30,0%,11.4
2026-05-23,0,23,0%,8.3
2026-05-24,0,21,0%,8.1
2026-05-25,0,38,0%,8.5
2026-05-26,0,23,0%,10.2
2026-05-27,3,35,8.57%,9.1
2026-05-28,4,55,7.27%,10.5
2026-05-29,1,43,2.33%,9
2026-05-30,1,61,1.64%,8.1
2026-05-31,3,56,5.36%,9
2026-06-01,0,79,0%,9
2026-06-02,2,59,3.39%,7.1
2026-06-03,0,58,0%,8.1
2026-06-04,16,233,6.87%,6.8
2026-06-05,16,320,5%,6.1
2026-06-06,18,284,6.34%,6.4
2026-06-07,12,301,3.99%,6.7
2026-06-08,9,267,3.37%,6.1
2026-06-09,9,255,3.53%,5.8
2026-06-10,21,280,7.5%,5.6
2026-06-11,12,281,4.27%,5.5
