Top pages,Clicks,Impressions,CTR,Position
https://upscprepnotes.in/upsc-topper/divya-tanwar-rank-105-2022,27,794,3.4%,4.3
https://upscprepnotes.in/upsc-topper/garima-lohia-rank-2-2022,20,630,3.17%,7.33
https://upscprepnotes.in/upsc-topper/ayan-jain-rank-16-2023,19,378,5.03%,7.92
https://upscprepnotes.in/upsc-topper/uma-harathi-rank-3-2022,14,366,3.83%,7.92
https://upscprepnotes.in/upsc-topper/komal-meena-rank-765-2022,10,118,8.47%,5.56
https://upscprepnotes.in/free-materials/hindi-literature-optional-upsc-test-series,7,39,17.95%,8.26
https://upscprepnotes.in/upsc-topper/eppalapally-susmitha-rank-384-2022,5,38,13.16%,7.61
https://upscprepnotes.in/upsc-topper/arjun-gupta-rank-32-2023,4,61,6.56%,6.25
https://upscprepnotes.in/upsc-topper/akanksh-dhull-rank-342-2023,4,53,7.55%,8.38
https://upscprepnotes.in/upsc-topper/siddharth-singhdangi-rank-230-2022,4,49,8.16%,7.33
https://upscprepnotes.in/upsc-topper/abhishek-vashishtha-rank-14-2024,4,42,9.52%,6.07
https://upscprepnotes.in/upsc-topper/shaik-habeebulla-rank-189-2022,3,128,2.34%,7.9
https://upscprepnotes.in/upsc-topper/piyush-kumar-rank-433-2022,2,85,2.35%,9.46
https://upscprepnotes.in/,2,21,9.52%,6.86
https://upscprepnotes.in/free-materials/forum-ias-test-series-2026,2,10,20%,10.7
https://upscprepnotes.in/upsc-topper/manika-gupta-rank-372-2023,2,9,22.22%,5.67
https://upscprepnotes.in/year/2024,1,38,2.63%,7.34
https://upscprepnotes.in/free-materials/uppsc-test-series-2025,1,19,5.26%,15.21
https://upscprepnotes.in/optional/sociology,0,25,0%,10.72
https://upscprepnotes.in/upsc-topper/ayasha-fatima-rank-184-2022,0,23,0%,6.35
https://upscprepnotes.in/upsc-syllabus,0,13,0%,26.92
https://upscprepnotes.in/pyq/2025,0,4,0%,7.5
https://upscprepnotes.in/about,0,3,0%,1.67
https://upscprepnotes.in/pyq,0,3,0%,5.67
http://upscprepnotes.in/,0,1,0%,2
