Top pages,Clicks,Impressions,CTR,Position
https://upscprepnotes.in/upsc-topper/divya-tanwar-rank-105-2022,4,142,2.82%,6.15
https://upscprepnotes.in/upsc-topper/garima-lohia-rank-2-2022,3,87,3.45%,13.94
https://upscprepnotes.in/upsc-topper/uma-harathi-rank-3-2022,2,104,1.92%,11.48
https://upscprepnotes.in/upsc-topper/ayan-jain-rank-16-2023,2,63,3.17%,9.97
https://upscprepnotes.in/upsc-topper/siddharth-singhdangi-rank-230-2022,2,16,12.5%,5.94
https://upscprepnotes.in/upsc-topper/komal-meena-rank-765-2022,1,69,1.45%,6.58
https://upscprepnotes.in/upsc-topper/shaik-habeebulla-rank-189-2022,1,26,3.85%,8.54
https://upscprepnotes.in/upsc-topper/eppalapally-susmitha-rank-384-2022,1,15,6.67%,10.73
https://upscprepnotes.in/upsc-topper/piyush-kumar-rank-433-2022,0,24,0%,7.5
https://upscprepnotes.in/optional/sociology,0,12,0%,12.17
https://upscprepnotes.in/upsc-topper/ayasha-fatima-rank-184-2022,0,10,0%,6.5
https://upscprepnotes.in/,0,6,0%,6
http://upscprepnotes.in/,0,1,0%,2
